0.16537,0.16864,0.10593,0.11054,0.13380,0.12242,0.15441,0.15247
0.13447,0.13769,0.08132,0.08453,0.10586,0.09659,0.12294,0.12165
0.10369,0.10591,0.05848,0.06125,0.07909,0.07068,0.09348,0.09265
0.07354,0.07516,0.03785,0.04020,0.05352,0.04710,0.06481,0.06417
0.04808,0.04865,0.02212,0.02377,0.03263,0.02830,0.04125,0.04147
0.02765,0.02798,0.01111,0.01208,0.01718,0.01457,0.02286,0.02319
0.01363,0.01369,0.00481,0.00491,0.00750,0.00618,0.01116,0.01098
0.00587,0.00583,0.00163,0.00175,0.00280,0.00216,0.00455,0.00461
0.00198,0.00202,0.00044,0.00047,0.00077,0.00059,0.00152,0.00154
0.00056,0.00051,0.00008,0.00008,0.00016,0.00010,0.00036,0.00038
0.00012,0.00013,0.00002,0.00002,0.00003,0.00002,0.00007,0.00007
0.00003,0.00002,0.00000,0.00000,0.00000,0.00000,0.00001,0.00001
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
